Date,AAPL,ADBE,AMZN,GOOGL,INTC,META,MSFT,NFLX,NVDA,TSLA
2013-01-02,16.7057,38.34,12.8655,18.0546,15.2893,27.9159,22.4518,13.1443,0.2935,2.3573
2013-01-03,16.4948,37.75,12.924,18.0651,15.2464,27.6866,22.151,13.7986,0.2938,2.318
2013-01-04,16.0354,38.13,12.9575,18.4221,15.132,28.6737,21.7365,13.7114,0.3035,2.2933
2013-01-07,15.9411,37.94,13.423,18.3417,15.1963,29.3317,21.6958,14.1714,0.2947,2.2893
2013-01-08,15.984,38.14,13.319,18.3055,15.0819,28.9728,21.582,13.88,0.2882,2.2453
2013-01-09,15.7341,38.66,13.3175,18.4258,15.3394,30.4982,21.704,13.7014,0.2818,2.2427
2013-01-10,15.9292,38.62,13.267,18.5097,15.5896,31.206,21.5089,14.0,0.2822,2.2353
2013-01-11,15.8315,38.09,13.397,18.4725,15.7327,31.6248,21.8096,14.47,0.2818,2.194
2013-01-14,15.2671,38.16,13.6365,18.0546,15.7327,30.8571,21.8584,14.7786,0.2815,2.2173
2013-01-15,14.7854,38.15,13.595,18.0966,15.6469,30.0096,22.1185,14.5271,0.2765,2.26
2013-01-16,15.3991,37.88,13.4465,17.8534,15.8113,29.7604,21.9803,13.9257,0.279,2.2733
2013-01-17,15.2954,37.73,13.524,17.7568,16.219,30.0495,22.151,13.9571,0.2827,2.292
2013-01-18,15.2138,37.98,13.606,17.5868,15.1963,29.571,22.151,14.1671,0.2808,2.3013
2013-01-22,15.359,37.95,13.5095,17.5459,15.1391,30.6378,22.0698,13.9729,0.2795,2.346
2013-01-23,15.6401,38.25,13.4055,18.5102,15.0962,30.7275,22.4437,14.7514,0.2799,2.4
2013-01-24,13.7077,38.11,13.673,18.8275,14.9818,30.9867,22.4599,20.98,0.2813,2.466
2013-01-25,13.3845,38.32,14.1995,18.814,14.9889,31.4453,22.6632,24.2229,0.2864,2.4653
2013-01-28,13.6873,38.24,13.802,18.7406,15.0533,32.3725,22.6875,23.1586,0.291,2.5353
2013-01-29,13.9441,38.52,13.0175,18.8143,15.2178,30.6976,22.7688,24.16,0.2848,2.53
2013-01-30,13.9003,37.94,13.638,18.818,15.2821,31.1462,22.6388,23.9571,0.2843,2.5013
2013-01-31,13.8595,37.83,13.275,18.8645,15.0462,30.887,22.3136,23.6057,0.2829,2.5007
2013-02-01,13.8026,38.34,13.25,19.3615,15.275,29.6408,22.7038,23.5429,0.2855,2.5533
2013-02-04,13.4588,38.1,12.999,18.9476,15.132,28.0256,22.3055,24.9629,0.2806,2.516
2013-02-05,13.931,38.51,13.3445,19.1153,15.3091,28.554,22.3543,24.9129,0.2871,2.542
2013-02-06,13.9161,38.4,13.111,19.2259,15.1717,28.9628,22.2242,26.3443,0.2848,2.6113
2013-02-07,14.3299,38.07,13.0115,19.3203,15.0416,28.564,22.1754,25.9943,0.2836,2.632
2013-02-08,14.5368,39.12,13.0975,19.6054,15.179,28.4643,22.3949,25.8529,0.2855,2.616
2013-02-11,14.6883,38.64,12.8605,19.5317,15.2006,28.1752,22.6469,25.4129,0.2887,2.5613
2013-02-12,14.3201,38.89,12.935,19.4888,15.3163,27.2878,22.6632,25.4214,0.2868,2.526
